raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,case_id,data_index,data_dir,raw_file_count,available_unique_frame_count,selected_steps,frame_selection_mode,frame_time_start,frame_time_end,raw_node_count,raw_u_min,raw_u_max,raw_v_min,raw_v_max,raw_w_min,raw_w_max,raw_total_bytes_selected,ignored_downloading_count,discarded_duplicate_count,ignored_bad_name_count,repaired_frame_count,repaired_frame_times
Q100-X300-Y0-Fraction,300,0,0,100,case_0000,0,E:\氢泄漏\Q100-X300-Y0-Fraction,240,240,120,integer_aligned,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,0,0,0,
Q100-X400-Y0-Fraction,400,0,0,100,case_0001,1,E:\氢泄漏\Q100-X400-Y0-Fraction,240,240,120,integer_aligned,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,0,0,0,
Q1000-X300-Y0-Fraction,300,0,0,1000,case_0002,2,E:\氢泄漏\Q1000-X300-Y0-Fraction,120,120,120,integer_aligned,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,0,0,0,
Q400-X300-Y0-Fraction,300,0,0,400,case_0003,3,E:\氢泄漏\Q400-X300-Y0-Fraction,120,120,120,integer_aligned,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,0,0,0,
Q400-X400-Y0-Fraction,400,0,0,400,case_0004,4,E:\氢泄漏\Q400-X400-Y0-Fraction,120,120,120,integer_aligned,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,0,0,0,
