raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,case_id,data_index,data_dir,raw_file_count,selected_steps,frame_time_start,frame_time_end,raw_node_count,raw_u_min,raw_u_max,raw_v_min,raw_v_max,raw_w_min,raw_w_max,raw_total_bytes_selected,repaired_frame_count,repaired_frame_times
"200,-150,0,50mlmin",200,-150,0,50,case_0000,0,"F:\氢泄露\200,-150,0,50mlmin\all",240,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,
"200,-150,0,600mlmin",200,-150,0,600,case_0001,1,"F:\氢泄露\200,-150,0,600mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,
"200,-150,0,800mlmin",200,-150,0,800,case_0002,2,"F:\氢泄露\200,-150,0,800mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,
"200,-150,0,200mlmin",200,-150,0,200,case_0003,3,"F:\氢泄露\200,-150,0,200mlmin",240,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,
