train_size,completed_repeats,rmse_mean,rmse_std
6,3,0.0019178192876279938,0.00021970827654486052
12,2,0.0007686108056904423,8.521224226697372e-06
24,3,0.0026579426617516395,0.002597387355226787
31,2,0.0013457408928415613,0.0006019971880992483
