repeat,case_id,raw_case_name,rate,source_x,source_y,rmse,mae,active_rel_l1,mass_rel_error
0,case_0025,Q100-X400-Y0-Fraction,100.0,400.0,0.0,0.0006662611247095132,0.00034918805000120327,2.087220392831393,1.957431678447586
0,case_0027,Q1000-X400-Y0-Fraction,1000.0,400.0,0.0,0.0012139105543094784,0.0006088904289812177,0.5084274042541248,0.31847834490208615
0,case_0029,Q200-X400-Y0-Fraction,200.0,400.0,0.0,0.0006930181715433779,0.00032939221577278925,1.0646789723122967,0.9244154911527532
0,case_0031,Q400-X400-Y0-Fraction,400.0,400.0,0.0,0.000795433675898063,0.0003484851158199996,0.6411535586796115,0.4620253918343503
0,case_0033,Q50-X400-Y0-Fraction,50.0,400.0,0.0,0.0005875936217264694,0.0003202826803552426,3.8489843942531494,3.8580333887038467
0,case_0035,Q600-X400-Y0-Fraction,600.0,400.0,0.0,0.000902136134052905,0.0003953485209701568,0.5367311300477317,0.3024438181688281
0,case_0037,Q800-X400-Y0-Fraction,800.0,400.0,0.0,0.0010432019793326023,0.0004874881489155823,0.5114107484590118,0.30131949777396905
1,case_0025,Q100-X400-Y0-Fraction,100.0,400.0,0.0,0.006256250492610459,0.002481362415674897,26.952640502492958,13.775806804332179
1,case_0027,Q1000-X400-Y0-Fraction,1000.0,400.0,0.0,0.006502295575250831,0.0032178774430000243,4.499568608433677,2.0382463957297663
1,case_0029,Q200-X400-Y0-Fraction,200.0,400.0,0.0,0.006258470245110147,0.0025321957843312073,15.856315102701098,7.347394352207431
1,case_0031,Q400-X400-Y0-Fraction,400.0,400.0,0.0,0.00628507960247396,0.002662590163390768,9.132712113731097,4.04238235232879
1,case_0033,Q50-X400-Y0-Fraction,50.0,400.0,0.0,0.006257804439464764,0.0024594634083088735,44.96424746447321,27.102570396021164
1,case_0035,Q600-X400-Y0-Fraction,600.0,400.0,0.0,0.0063393228645173905,0.0028248820045429614,6.738128581370271,2.9253898946857246
1,case_0037,Q800-X400-Y0-Fraction,800.0,400.0,0.0,0.006418598811977842,0.0030129646512770296,5.333509420130308,2.3680194173041476
2,case_0025,Q100-X400-Y0-Fraction,100.0,400.0,0.0,0.00047501260630578647,0.00025932813961187823,2.2164173765815063,0.9445109674969594
2,case_0027,Q1000-X400-Y0-Fraction,1000.0,400.0,0.0,0.0013470111732820568,0.0008926649564741574,0.7605097124526559,0.5550377400716838
2,case_0029,Q200-X400-Y0-Fraction,200.0,400.0,0.0,0.0005643468663611772,0.000313533815794285,1.3804954055264165,0.6911064161691762
2,case_0031,Q400-X400-Y0-Fraction,400.0,400.0,0.0,0.0007304668102764702,0.0004245195535340464,0.9517471558806669,0.5540674431513134
2,case_0033,Q50-X400-Y0-Fraction,50.0,400.0,0.0,0.0004548425242620743,0.0002518775068701724,3.758503720291118,1.8193327980500733
2,case_0035,Q600-X400-Y0-Fraction,600.0,400.0,0.0,0.0009032142769090228,0.0005558184735606305,0.8362376884109294,0.508407504705922
2,case_0037,Q800-X400-Y0-Fraction,800.0,400.0,0.0,0.0011225243464100397,0.0007194783286508433,0.7887309306458146,0.5286519351442563
