data_index,case_id,raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,min,max,mean,std,sum,finite_ratio,flags
37,case_0037,Q800-X400-Y0-Fraction,400,0,0,800,7.270320452335e-07,0.0826243907213211,0.0012486481573432684,0.0008062609122134745,16570.858951880564,1.0,
38,case_0038,"6,0,0,0,100",0,0,0,100,2.0881367390757077e-07,0.010396018624305725,0.0001560933596920222,9.62717822403647e-05,2071.522309187784,1.0,
39,case_0039,"6,0,0,0,200",0,0,0,200,6.03161765866389e-07,0.018535643815994263,0.00031194178154692054,0.00019355544645804912,4139.78885022319,1.0,
40,case_0040,"6,0,0,0,50",0,0,0,50,3.7195061963757325e-07,0.0032341727055609226,7.827230729162693e-05,4.6360717533389106e-05,1038.7548917067625,1.0,
41,case_0041,"6,0,0,0,400",0,0,0,400,7.666104693271336e-07,0.04338061809539795,0.0006233610329218209,0.00039484971784986556,8272.646963102152,1.0,
42,case_0042,"6,0,0,0,600",0,0,0,600,1.0510000265639974e-06,0.05590330809354782,0.0009347821469418705,0.0005884224083274603,12405.53920115684,1.0,
43,case_0043,"6,0,0,0,800",0,0,0,800,1.2206637620693073e-06,0.066887766122818,0.001245916006155312,0.0007917662733234465,16534.60247160546,1.0,
44,case_0044,"6,0,0,0,1000",0,0,0,1000,5.675526608683867e-06,0.0767764300107956,0.0015681448858231306,0.0009947997750714421,20810.924067848962,1.0,
45,case_0045,"6,0,100,0,100",100,0,0,100,0.0,0.2277749478816986,0.0014091676566749811,0.0031322850845754147,18701.111312872457,1.0,
46,case_0046,"6,0,100,0,50",100,0,0,50,0.0,0.15096239745616913,0.0007495548343285918,0.0019411627436056733,9947.367529191635,1.0,
47,case_0047,"6,0,100,0,200",100,0,0,200,0.0,0.3303857147693634,0.0027122802566736937,0.005082962103188038,35994.7820837297,1.0,
